HS,CN,__index_level_0__,label,score
musulmanes terroristas,mentiras,35,LABEL_1,0.5674764513969421
musulmanes terroristas,mil millones terroristas,36,LABEL_1,0.5674764513969421
musulmanes volved país,imposible musulmanie tragó hace tiempo mismo tiempo atlantis ubicada km norte,37,LABEL_1,0.5821446776390076
musulmanes volved país,mayoría musulmanes franceses nacieron francia cómo regresan realmente casa,38,LABEL_1,0.5821446776390076
mujeres velo trabajan encerradas casa,clima intolerancia empuja mujeres velo refugiarse casa,39,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,suponiendo cierto verías argumento,40,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,oficial enlace,41,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,puede enviarles artículo teletrabajo,42,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,podrías darme datos fuentes muchas gracias,43,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mejor monasterio,44,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,sido confinadas gobierno bravo libertad mujer,45,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo casa encerradas sino sistema hace posible sacarlas sociedad,46,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,investigue caso babilou nombrar solo asistente dirección velo,47,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,amas casa mala palabra,48,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,aceptame velo,49,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,impida trabajar estudiar entonces,50,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,entonces déjalas trabajar velo,51,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo activas ejemplo asociaciones,52,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres trabajan mujeres velo mujeres trabajan,53,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo todas demás mujeres necesitan oportunidades respetando religión,54,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,velo destinado impedir mujeres trabajen además islam prohíbe tener trabajo,55,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,velo prisión impide mujer realice actividad asociativa profesional etc islam fomenta trabajo,56,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,supuesto nadie quiere darles oportunidad demostrar competencia defensores laicismo islamófobo encerrado afortunadamente regla siempre excepciones descubrirás mismo mujeres velo capaces hacer vecinas,57,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mal tratamos bloquear camino trabajo elegido letra prohíbe signos ostentosos mencionan continuación,58,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,madres velo quedan casa cuidar hijos darles buena educación buenos valores,59,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cuántas mujeres velo trabajan,60,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,encierra estigmatiza,61,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo activas clichés,62,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,bueno escuche alguien máster investigación ciencias educación encerrada,63,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cambio libre piensas,64,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujer musulmana mujer educada mujer valiosa mujer educada mujer libre,65,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,perdóname mujeres educadas historia mundo musulmanas,66,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,luego encuentre evidencia concreta mujeres musulmanas encerradas,67,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,falso mayor parte funcionan si elección,68,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo solo inspiran prosperar sociedad viven si trabaja dificultad trabajar discriminación,69,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,personas educación escribieron mensaje dan atajos acoplar mujer objeto absurdo,70,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,islam invita mujeres educarse estudiar contrario comentario refleja odio rechazo hacia demás,71,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,conozco congresista estadounidense acuerdo contigo,72,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,madre lleva velo maestra,73,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,visto mujeres políticas deportistas periodistas,74,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres usan pañuelo cabeza pueden hacerlo si desean trabajar si necesario siempre trabajo interfiera leyes país,75,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres llevan pañuelo cabeza libres ir venir bien francia país libertad prohíbe ir excursiones escolares ejemplo,76,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,pronto funcionando visibles guste,77,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si funcionan puede ser prohíbe,78,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,entonces cree economía arabia saudita basa únicamente trabajo hombres,79,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,velo discrimina alto desempleo quién culpa discrimina víctima,80,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,idea década inmigración vive espaldas francia mujeres velo representadas oficios abogados médicos contables etc,81,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,entender mismas mujeres cerebro demás escuela mismas armas mujeres confundirlas inmigrantes,82,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,evidencia calle,83,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo prefieren dedicarse educación hijos,84,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,víctimas discriminación contratación,85,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo suelen tener alto nivel educativo,86,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo trabajan quieren,87,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,muchas quitaron velo trabajar,88,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cierto ritmo totalmente rechazadas salidas escolares piscina deportes trabajo quién culpa,89,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,quitar ley velo permitiría volver trabajo,90,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si quedan maison seguro elección vida,91,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,quieres,92,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,creas comunitarismo,93,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,puedes ver diferencia,94,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,elección si desean,95,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,trabajo verdad,96,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,contratan precisamente llevan velo,97,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si pueden permitirse lujo trabajar problema,98,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,luchan encontrar trabajo precisamente velas,99,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,muchas trabajan niegas,100,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,así problema,101,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,incluso muchas grandes líderes empresariales graduadas nombrar si interesado supuesto,102,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,estadísticas,103,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,puede reflejar discriminación contratación,104,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,generalidad casa lugar cambia usted trabajan mujeres velo conexión dos,105,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,falso funcionan oportunidad hacerlo,106,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,francia racismo,107,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,flagrante falta conocimiento mujeres musulmanas,108,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cliché racista,109,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,pruebas dices,110,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,muchas empresas niegan contratar mujeres calificadas puesto precisamente llevan velo quizás deberíamos empezar,111,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,llevo velo trabajo,112,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si mayoría mujeres encierran culpa maridos estigmatizas cada vez hacen detienes comentarios racistas,113,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,quieres mediático racista fuerza expulsarlas rincones,114,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,marcar diferencia elegirlas bloquearlas,115,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,encierran casa perseguidas diario simple mirada agresión física siquiera pueden practicar deporte elección,116,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,eligieron trabajar impide trabajar gradúan problema trabajar velo casa,117,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,constantemente estigmatizadas prefieren ser discretas,118,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,francia mala interpretación secularismo inglaterra ve ver mujeres velo trabajar todas ramas incluso servicio público,119,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo mujeres fuertes trabajadoras decididas trabajan elección impone,120,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,permíteles ser consideradas ciudadanas comunes verás si abandonan hogares,121,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,equivocado conozco muchas mujeres velo trabajan,122,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,gracias personas lamentablemente,123,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,declaraciones estigmatizan ciudadanas,124,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,todas libres elegir,125,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo activas,126,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo respetables palabras,127,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,encuesta pensamientos,128,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,luego hacen quieren,129,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mira inglaterra canadá países africanos sorprendería ver trabajan impide hacerlo,130,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si encerradas todas discusiones veríamos tantos velos,131,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,desafortunadamente mayoría mujeres velo discriminadas pueden encontrar trabajo,132,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,hablado alguna vez mujer usa seguro,133,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,discursos encierran libertad mujeres velo,134,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,conoces mujeres lol,135,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,falta conocimiento vuelve peligrosa mente,136,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,ven conocernos verás significado palabra libertad,137,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,demasiada imaginación,138,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,culturas sectarias abogan mujeres casa relacionado islam,139,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,época profeta muhammad mujeres participantes activas sociedad,140,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,muchas mujeres emancipadas velo asumen responsabilidades asociaciones trabajan bien,141,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo sufren mucha discriminación podría llevar encerrarse,142,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,clichés obsoletos,143,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cambiemos tornas prohibido mujeres velo,144,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,error común muchas mujeres velo vida activa,145,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,encerradas raro vi afuera ah dentista,146,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mando currículum dices parece cuidado largo,147,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,sal cueva,148,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,ven universidad decepcionará,149,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,cierto todas mujeres trabajo llevan velo trabajan,150,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,frase racista ve bfmtv vez,151,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,mujeres velo libres,152,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,exactamente cierto problema,153,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,precisamente quieren participar vida pública conviertes problema,154,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,europa solo francia buscamos mujeres lleven velo universidad trabajo espacio público,155,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,incluso si cierto cómo daña,156,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,si cierto encontraría calle lugar trabajo,157,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,teoría transmitida islamófoba,158,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,prueba,159,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,así roban trabajo franceses quedándose casa lugar financiar investigación científica comprender poder alienando,160,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,exactamente debe prohibir usar velo espacios públicos pensamiento complejo busque,161,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,contrario trabajando,162,LABEL_1,0.5764286518096924
mujeres velo trabajan encerradas casa,trabajar elección,163,LABEL_1,0.5764286518096924
musulmanes volved país,si pagas billete avión marruecos voy gusto justo reservar boleto pásame llamada daría disponibilidad si conoces buen plan alquilar riad oídos,164,LABEL_1,0.5821446776390076
musulmanes volved país,país defendido construido musulmanes,165,LABEL_1,0.5821446776390076
musulmanes volved país,debería revisar historial,166,LABEL_1,0.5821446776390076
musulmanes volved país,existe tal cosa musulmanía emigrar,167,LABEL_1,0.5821446776390076
musulmanes volved país,francia definida religión grupo étnico país aquellos reconocen valores,168,LABEL_1,0.5821446776390076
musulmanes volved país,franceses,169,LABEL_1,0.5821446776390076
musulmanes volved país,musulmanes existido tiempo,170,LABEL_1,0.5821446776390076
musulmanes volved país,dejar francia derrota,171,LABEL_1,0.5821446776390076
musulmanes volved país,realmente sé cuál elegir,172,LABEL_1,0.5821446776390076
musulmanes volved país,pasaporte dni formales allí,173,LABEL_1,0.5821446776390076
musulmanes volved país,si devuelven países saquearon imperialismo colonial puede negociar si lado piensa musulmanes merecen tener nivel vida europeos entonces vida infeliz,174,LABEL_1,0.5821446776390076
musulmanes volved país,nací francia,175,LABEL_1,0.5821446776390076
musulmanes volved país,quién hablando favor,176,LABEL_1,0.5821446776390076
mujeres velo sometidas obligadas llevar pañuelo cabeza,obligatorio llevar velo libre usarlo,177,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,si ejemplos alrededor personas sido obligadas diles pueden rellenar queja,178,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,obvio si dices sometidas,179,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,señalo esencialización sexismo neocolonialista,180,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,generalización extraña parecer aún conocido esposa,181,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,olvidado signo interrogación,182,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,conoces todas mujeres velo contexto empezaron ponerlo investigador interesado,183,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,bien sujetos idiotez,184,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,quieres cambia monasterios,185,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,igual policía obligada usar casco,186,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,falta complemento verbal estructura gramatical,187,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,velo signo sumisión hombre elección libre,188,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,llevan alma conciencia,189,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,vivimos país libre mundo viste quiere,190,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,quién confirmó cuáles fuentes,191,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,pensar libre albedrío pueden elegir solos,192,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,cierto idea brillante pregúntales,193,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,sometidas quién dónde francia arabia saudita resumen muchas preguntas responder podemos hablar,194,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,coacción islam uso velo elección personal fe requerido esposo familia,195,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,preguntado menos vez mujer velo si obligada usar velo,196,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,vivimos país libre laico libres usar ropa deseada símbolos religiosos incluidas mujeres musulmanas,197,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres velo sometidas decidieron usar velos decides usar días,198,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,igual mujeres velo dotadas libre albedrío usar velo decisión personal,199,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,velo simboliza oración común todas religiones,200,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,pone velo acercarse dios rezar,201,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,ninguna mujer musulmana obligada llevar velo,202,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,realidad obligatorio rezar delante dios cubrirse,203,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,quién nombró portavoz mujeres velo hablar nombres,204,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,islam mujeres libres demás,205,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,conoces todas mujeres velo dicen,206,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,crees obligarlos eliminarlo das libertad,207,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,creo hable nombre mujeres velo,208,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,recopilado opinión hacer tales comentarios,209,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,cuál diferencia velo cristiano judío,210,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,fundamentas afirmación,211,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,hablas nombre mujeres cuyos derechos siendo violados bien pasa mujeres eligen usarlo,212,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,traiga prueba,213,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,llevo velo nadie obliga casada convertí islam así familia musulmana presión,214,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,belleza mujer debe protegerse así grandes joyas protegidas alarmas protegidos velos,215,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,velo protección mujer,216,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,sujetos creador hermanas cristianas velo,217,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,verdad conoces mujer velo,218,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,ninguna razón mujer deba ser obligada usar velo,219,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres sumisas sino libres elección,220,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres necesitan expreses opinión lugar,221,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres libres usar quieran,222,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,pena ver gente tan respetuosa mujeres musulmanas país supone defiende derechos humanos,223,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,cómo puedes mantener tipo conversación si sabes lugar mujer islam,224,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres desnudas sujetas dictados sociedad,225,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,ignorancia peor enfermedad,226,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,idea solo lleva odio,227,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,pañuelo ninguna manera acto forzado simplemente sufrimos prejuicios ignorancia ninguna manera objeto obstaculice libertad bueno trabajar aire libre viajar amigos,228,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,pañuelo modo alguno objeto sometimiento obligación elección reflexiva muchas personas aceptado,229,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,velo accesorio permite mujer ser reconocida persona solo ser vista exterior protección importante vista escándalos sexuales ahora surgiendo escalas tono cerdo,230,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres fe usan pañuelo cabeza convicción religiosa ciertamente sujetas nadie excepto creador,231,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujer decide usar velo realizar viaje espiritual así eligió usarlo propias razones personales,232,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,cómo sabes,233,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,hablas lugares,234,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,mujeres pueden decidir si usarlo función grado fe resistencia agresión verbal física parte personas ignorantes,235,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,religiosamente mujeres deben usar velo pañuelo cabeza sumisión reglas allah hombre,236,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,veces elección personal,237,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,cómo sumisión ocultar atuendo,238,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,medio desnudo sumisión,239,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,quién hace hacerlo,240,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,tipo comentario generalización excesiva muchas historia proporcionado,241,LABEL_1,0.5635587573051453
mujeres velo sometidas obligadas llevar pañuelo cabeza,preguntado todas mujeres velo si usan obligación,242,LABEL_1,0.5635587573051453
